"Название курса";"Количество файлов";"Заполненность (%)"
Археология;7;64%
"Электротехника и основы электроники";0;0%
"Методика преподавания психологии";0;0%
Дизайн-проектирование;0;0%
"Теоретические принципы исследований и испытаний рабочих машин";0;0%
"Механика грунтов, основания и фундаменты";0;0%
"Информационные технологии в науке и производстве";0;0%
"Разработка онлайн игр";0;0%
"Этика / Психология труда и управления";0;0%
"Материалы аддитивного синтеза";0;0%
"Современные методы исследования и проектирования оснований и фундаментов зданий ";0;0%
"Материаловедение и технология трубостроительных материалов";0;0%
"Курсовой проект по учебной дисциплине ""Организация и управление производством""";0;0%
"Экспериментальная и практическая археология";0;0%
"Системы отопления, вентиляции и газоснабжения объектов индивидуального строитель";0;0%
"Микропроцессорные средства и системы";0;0%
"Разработка Веб-сервисов для мобильных систем";0;0%
"Конверсационная грамматика";0;0%
"Курсовая работа по учебной дисциплине ""Методы и технологии разработки и управлен";0;0%
Политология;0;0%
"Исследование операций";0;0%
"Введение в математический анализ (корректирующий курс)";0;0%
"Конструирование электронных средств";0;0%
"Финансы организаций";0;0%
"Лабораторный спецпрактикум ""Объектно-ориентированное программирование"" / Лаборат";0;0%
"Курсовая работа по учебной дисциплине ""Релейная защита и автоматика систем элект";0;0%
"Международная логистика";0;0%
"Электоральные исследования / Конструирование имиджа в СМИ";0;0%
"Экономический рост и развитие";0;0%
"Современные концепции экономического развития";0;0%
"Финансовое право";0;0%
"Технология и автоматизация делопроизводства";0;0%
Методическая;0;0%
"Курсовой проект по учебной дисциплине ""Водозаборные сооружения""";0;0%
"Финансовое и налоговое право";0;0%
"Практическая методика преподавания русского языка как иностранного";0;0%
"Приемы и методы повышения мотивации к обучению";0;0%
"Автомобильные двигатели";0;0%
"Курсовая работа по учебной дисциплине ""Автоматизация средств технологического ос";0;0%
"Основы педагогики и учебно-профессиональной деятельности педагога-психолога";0;0%
"Психологическое сопровождение в избранном виде спорта (хоккей)";0;0%
"Курсовая работа по учебной дисциплине ""Средства технологического оснащения транс";0;0%
"Методология архитектурного анализа проектных решений";0;0%
"Экономика предприятия";0;0%
"Программирование средствами 1С";0;0%
"Технология развития белорусской речи";0;0%
"Анимационный дизайн / CGI и визуальные эффекты";0;0%
"Экономика предприятия в машиностроении";0;0%
"2-я технологическая";0;0%
"Статистические методы анализа и планирования эксперимента";0;0%
"Архитектурные решения и платформы для обработки больших объемов информации";0;0%
Архивно-музейная;0;0%
"Основы энергосбережения";0;0%
"Курсовой проект по выбранной дисциплине";0;0%
"Курсовая работа по учебной дисциплине ""Арифметические и логические основы цифров";0;0%
"Электронные приборы";0;0%
"Философия и методология науки";0;0%
"Насосные и воздуходувные станции";0;0%
"Групповая динамика и коммуникация в программной инженерии / Экономика программно";0;0%
"История литературы страны изучаемого языка XIX века";0;0%
"Практикум по культуре речевого общения";0;0%
"Облачные технологии";0;0%
"Технология обработки древесины (ручная и механизированная обработка)";0;0%
"Курсовой проект по учебной дисциплине ""Электрические машины""";0;0%
"Современные системы компьютерной алгебры";0;0%
"Коммерциализация результатов научно-исследовательской деятельности";0;0%
"Бухгалтерский управленческий учет в промышленности";0;0%
"Инженерное обеспечение надёжности";0;0%
"Основы медиабизнеса / GR-менеджмент";0;0%
"Курсовая работа по модулю «Бизнес-администрирование»";0;0%
"Финансы и финансовый менеджмент";0;0%
"Налоговое право / Налоговый контроль";0;0%
"История государства и права Беларуси";0;0%
"Инвестиционное проектирование";0;0%
"Стратегия коммуникативного поведения";0;0%
"Юридическая техника договорной работы";0;0%
"Финансовая математика и финансовый менеджмент / Проектирование веб-магазинов";0;0%
"Модуль ""Основной иностранный язык - 3"" (немецкий) / Модуль ""Основной иностранный";0;0%
"Социальная политика";0;0%
"Водоотведение промышленных предприятий";0;0%
"Таможенное декларирование";0;0%
"Практикум по созданию электронных образовательных ресурсов для детей дошкольного";0;0%
"Курсовая работа по учебной дисциплине ""Теория и методика физической культуры""";0;0%
"Организация и управление автосервисом";0;0%
"Творческие концепции в дизайне";0;0%
"Архитектура и программное обеспечение компьютера";0;0%
"Мультиантенные технологии";0;0%
"Бухгалтерская (финансовая) отчетность";0;0%
"Ресурсо- и энергосбережение";0;0%
"Веб-дизайн и мультимедийные коммуникации";0;0%
"Курсовой проект по учебной дисциплине ""Экономика организаций сектора информацион";0;0%
"Экономическая безопасность закупочной деятельности";0;0%
"Экономика организации (предприятия)";0;0%
"Гражданское право (часть 1)";0;0%
"Планирование в организации";0;0%
Социология;0;0%
"Юридическая клиника";0;0%
"Внутрифирменное планирование";0;0%
"Английский язык";0;0%
"Социально-педагогическая виктимология";0;0%
"Безопасность движения";0;0%
"Таможенное право Туркменистана";0;0%
"Практикум по музыкально-исполнительской деятельности";0;0%
"Информационные технологии в менеджменте";0;0%
"Экономика транспорта";0;0%
"Методика преподавания специальных дисциплин";0;0%
"Основы психологии управления / Психологические основы безопасности труда";0;0%
"Психология здоровья";0;0%
"Компьютерные технологии (3D-графика)";0;0%
"Современные тенденции развития оборудования для изготовления машин / Современные";0;0%
Организационная;0;0%
